Data Set 1:pH,Data Set 1:volume(ml)
2.9186677810473318,0
2.8617004720788248,1
2.9875175952911381,2
3.3593984967783879,3
3.4840641649145829,4
4.211234545,5
4.3600930163734839,6
4.4506240991445676,7
4.5140307988875952,8
4.5558100248637956,8.5
4.5894789328941936,9.0999999999999996
4.6268731386233597,9.5
4.6584679452996509,10
4.6890263068370333,10.5
4.730196475982666,11
4.7607365030991406,11.5
4.8032871882120771,12
4.8341917740671256,12.5
4.8592806615327531,13
4.8950653076171884,13.5
4.9521535446769311,14
4.9782581705796094,14.5
4.995407355459113,15.6
5.0926587031437798,16.100000000000001
5.1020774841308594,16.5
5.0969817638397217,17
5.1327190650136849,18
5.3937584925920534,19
5.4122519869553418,19.5
5.4615663980182836,20
5.5227823501978168,20.5
5.5775621732076006,21
5.6670475617433196,21.600000000000001
5.7526618179522062,22
5.770685574947259,22.199999999999999
5.8085911212823333,22.300000000000001
5.8692016225112109,22.5
5.8880944502981087,22.600000000000001
5.9288596228549357,22.75
5.9810463709708968,22.91
5.9986414658395866,23.050000000000001
6.0350049420406942,23.100000000000001
6.0523542135189743,23.210000000000001
6.1163877462729426,23.434999999999999
6.1847087584043807,23.567799999999998
6.2247799195741349,23.698499999999999
6.3098740577697754,23.800000000000001
6.324102790732133,23.897500000000001
6.4420307059037061,23.977709999999998
6.5383232769213224,24.18759
6.8510584097642164,24.314319999999999
6.8116770669033651,24.389500000000002
6.9002464367793159,24.41235
7.2136240883877401,24.4999
7.3189059809634562,24.5123
8.0583272347083454,24.532219999999999
8.0560839970906581,24.7135925714
8.257042346856533,24.812439999999999
8.7888080890362072,24.891234567891001
9.025230896778595,25.5
11.90460312993903,26.890000000000001
11.51719803559153,27.001234567891011
11.54524961270784,27.111234567891
11.62098241463686,27.289999999999999
11.684158325195311,29.487510123445681
11.70979172144181,27.655000000000001
11.79703581960578,27.9876543210123
12.167765592273909,28.987654321000001
12.21475285750169,30.59
12.42288677509015,33.899999999999999
9.8800882138704004,25.57
10.25528789821424,25.719999999999999
